duration,zcr_mean,zcr_std,centroid_mean,centroid_std,flatness_mean,flatness_std,rolloff_mean,rolloff_std,onset_strength_mean,onset_strength_std,contrast_0_mean,contrast_0_std,contrast_1_mean,contrast_1_std,contrast_2_mean,contrast_2_std,contrast_3_mean,contrast_3_std,contrast_4_mean,contrast_4_std,contrast_5_mean,contrast_5_std,contrast_6_mean,contrast_6_std,mfcc_1_mean,mfcc_1_std,mfcc_delta_1_mean,mfcc_delta2_1_mean,mfcc_2_mean,mfcc_2_std,mfcc_delta_2_mean,mfcc_delta2_2_mean,mfcc_3_mean,mfcc_3_std,mfcc_delta_3_mean,mfcc_delta2_3_mean,mfcc_4_mean,mfcc_4_std,mfcc_delta_4_mean,mfcc_delta2_4_mean,mfcc_5_mean,mfcc_5_std,mfcc_delta_5_mean,mfcc_delta2_5_mean,mfcc_6_mean,mfcc_6_std,mfcc_delta_6_mean,mfcc_delta2_6_mean,mfcc_7_mean,mfcc_7_std,mfcc_delta_7_mean,mfcc_delta2_7_mean,mfcc_8_mean,mfcc_8_std,mfcc_delta_8_mean,mfcc_delta2_8_mean,mfcc_9_mean,mfcc_9_std,mfcc_delta_9_mean,mfcc_delta2_9_mean,mfcc_10_mean,mfcc_10_std,mfcc_delta_10_mean,mfcc_delta2_10_mean,mfcc_11_mean,mfcc_11_std,mfcc_delta_11_mean,mfcc_delta2_11_mean,mfcc_12_mean,mfcc_12_std,mfcc_delta_12_mean,mfcc_delta2_12_mean,mfcc_13_mean,mfcc_13_std,mfcc_delta_13_mean,mfcc_delta2_13_mean,filepath,label
37.162675736961454,0.050450036110243596,0.011899103698275744,651.4852214798129,97.14113044085957,4.643465e-05,0.00018963132,1016.7545430590257,278.73277270668916,0.4059762,0.35511157,23.587856365987644,5.849799003065267,18.411552692208698,5.360137228087855,29.680217778143522,5.825484092915634,33.40952058594008,4.525281293371881,33.128854837224566,8.826369726730437,17.406517923445183,3.1922459343858964,43.193035750406715,4.399031602948648,-469.3238,55.312756,-0.024450867,-0.009684876,125.572945,50.010742,-0.030299662,-0.011896538,35.044548,10.778184,-0.021367146,-0.008123533,-5.8542166,19.215792,-0.014437781,-0.005165318,4.9184556,10.338847,-0.010883547,-0.0036574423,10.026973,8.4472275,-0.00684516,-0.0021205032,-9.437904,9.248846,-0.00050122646,8.190505e-05,-24.648281,10.640782,0.0045396197,0.0014814964,-18.109556,9.08693,0.0045720087,0.00081640645,-4.3479166,10.8527565,0.001597168,-0.00068553374,-0.829497,11.336134,0.00078614336,-0.00067088765,-6.4115486,9.02384,0.0033083803,0.0011641466,-9.765478,11.803365,0.0050597494,0.002705524,data/clips/nonvocaloid/001 - Title.mp3,nonvocaloid
255.81333333333333,0.1768612570345829,0.07393190132530185,3071.921619391242,665.2041727013706,0.04785228,0.1075207,6704.720572112985,1198.9998313331616,0.94530815,0.48260358,28.663227315150266,5.923734705625775,18.196093564502927,4.725611487952034,21.555552360245567,4.4454511997554995,21.247306961899987,3.902192219756423,20.28862531763435,3.411795715383705,18.565685854406613,2.6295959032807907,48.356380649025546,3.9214672553475394,-28.063221,83.83217,2.7700444e-09,2.8133262e-10,57.14746,17.855453,1.3850222e-09,7.466135e-10,2.9486804,10.486256,2.5969166e-10,-1.514868e-10,15.409543,11.048075,6.925111e-10,-5.6266525e-10,1.312066,7.618504,2.5969166e-10,2.5969166e-10,8.141293,8.31256,3.4625555e-10,1.9476874e-10,4.7922034,6.8645196,-3.8953749e-10,2.1099947e-10,3.6326246,7.9370155,-6.059472e-10,-5.5184474e-10,1.6621904,6.856835,4.3281942e-10,3.029736e-10,2.0592144,7.54339,4.3281942e-10,-1.6230728e-10,-4.4352827,7.786523,0.0,1.3525607e-10,2.771423,7.0175557,8.656389e-11,0.0,-1.2826554,7.5740776,-2.5969166e-10,7.3579304e-10,data/clips/nonvocaloid/001-Amazing Travel DNA.flac,nonvocaloid
262.68,0.1318396493525148,0.056089975953755006,2551.215609029175,529.7610260205372,0.02269698,0.0758742,5828.975083283612,1215.17361502808,1.0860006,0.7168985,27.967432405407266,6.2615527888340825,18.32327009569782,5.034354383870394,20.945151735370807,4.847044004863612,20.823858634841443,4.317482602475603,20.287088706192225,3.826195910929429,18.829520702316167,2.9016816113566275,48.802921358993984,3.7216867832824967,-66.152855,79.794365,2.6975673e-09,1.896727e-09,68.91834,20.0483,6.743918e-10,-3.0242258e-09,-2.9310217,18.655756,2.0231754e-09,3.68808e-10,11.913225,13.960018,-9.2728875e-10,-6.638544e-10,2.5410008,10.385438,-1.2644846e-09,3.0558378e-10,5.0715485,12.523331,5.0579385e-10,-8.2191504e-10,5.204391,9.440881,2.1074743e-10,3.5827064e-10,4.358571,11.105125,-6.743918e-10,3.477333e-10,2.8932624,8.829317,-8.429898e-11,-3.2665853e-10,6.0402474,9.331558,1.0115877e-09,9.483635e-11,-4.859088,9.464604,4.6364437e-10,-2.634343e-10,5.006187,8.843781,8.429898e-11,-8.429898e-11,1.3948125,9.904722,-5.0579385e-10,-5.426747e-10,data/clips/nonvocaloid/001-Dazzling White Town.flac,nonvocaloid
266.0933333333333,0.15887027227857767,0.06198999659164245,2845.832946840357,586.3191687948611,0.030153966,0.10450701,5842.803552437827,1131.1788034239999,1.0600426,0.52524775,26.375511499497023,5.705329264925501,16.062142540567375,4.427680817051911,20.231222043351252,4.686316358340761,22.176031203361948,4.56885456388106,22.042564144416875,4.146554285099569,20.561251012652157,3.763733288035741,49.11620504415491,4.093457384828935,-59.944168,77.009766,-2.662965e-09,1.2690692e-09,49.88895,20.51701,-1.3314825e-09,1.4667112e-09,-0.48154598,14.83969,-1.3314825e-09,-7.1775225e-10,37.72356,13.334029,-6.6574124e-10,4.680993e-10,0.32415858,10.013419,-3.3287062e-10,8.6338314e-10,11.196492,9.007616,3.3287062e-10,2.8085959e-10,12.368051,8.154297,1.2482648e-09,1.14424276e-10,10.167762,8.351015,0.0,-8.737854e-10,10.915196,6.902598,-2.0804414e-10,-2.0804414e-10,4.653175,7.617105,8.3217655e-11,-6.241324e-11,0.6266614,6.9943757,-2.4965296e-10,-2.1844634e-10,9.1984625,7.6749625,-8.3217655e-10,6.9694783e-10,-1.6167858,6.8239846,4.576971e-10,3.9528386e-10,data/clips/nonvocaloid/001-Braveheart Coaster.flac,nonvocaloid
248.24163265306123,0.17546181879033768,0.04947459781157106,2857.341723308039,405.10724895092903,0.032386377,0.046314027,5823.841194093601,834.2152135442032,0.9485017,0.38615274,31.69671951527486,5.654707713049848,16.18295770530971,4.263398864039752,19.619961961466828,4.053681812395467,21.275694543501935,3.6036176243923905,19.95258546135363,3.112013067696703,19.086799090603847,2.935360786389906,49.00962847872943,2.6106695446332004,-28.784117,65.473526,-2.854511e-09,2.2300868e-10,58.94804,13.671134,-7.1362777e-10,9.0318514e-10,-11.745876,11.567862,5.352208e-10,2.899113e-10,29.029833,10.29367,0.0,4.3486692e-10,1.3250012,7.5913754,-1.338052e-10,-9.366364e-10,9.8940325,6.828461,7.1362777e-10,2.341591e-10,6.2683682,6.5443187,-5.798226e-10,-3.010617e-10,6.92154,7.23523,2.676104e-10,3.010617e-10,5.932419,6.388259,-4.4601735e-11,-3.289378e-10,8.756145,5.656373,-5.798226e-10,-4.4601736e-10,-1.0269457,5.890048,2.2300868e-10,5.90973e-10,6.9371514,6.493889,6.244243e-10,9.0318514e-10,-3.1466932,6.766606,-4.4601735e-11,-1.1707955e-10,data/clips/nonvocaloid/(02)  MIRACLE WAVE.mp3,nonvocaloid
262.4522448979592,0.12448795915630806,0.04539714263707865,2356.706775544926,405.50966777587746,0.012983506,0.04227035,4950.639234588577,863.7732510759286,0.9498344,0.39962593,30.57917928516235,5.319542630591751,16.51979474140246,4.497674853833065,20.30412633923263,4.655597048485585,22.501368207345696,4.078756864154309,21.83677606439184,3.654055431295755,21.324006969852437,3.4698672166370423,48.46646282956265,2.645575809479973,-37.201584,73.16399,0.0,6.9608186e-10,78.74129,17.121582,-1.3499769e-09,3.1640085e-10,-3.982824,12.684372,-3.3749423e-10,-1.898405e-10,22.630539,12.060948,3.3749423e-10,1.6874711e-10,0.20943555,7.130518,-6.7498845e-10,-5.906149e-10,8.389702,9.6932955,-5.062413e-10,2.3202729e-10,13.136139,8.035997,-8.437356e-11,5.062413e-10,2.7012668,8.922842,5.062413e-10,-1.7402046e-10,10.130127,9.872498,1.6874711e-10,2.109339e-11,8.548102,8.163277,-8.437356e-10,5.062413e-10,-4.040075,8.715043,6.328017e-10,-3.005808e-10,9.015054,8.283925,-1.3077901e-09,1.5820042e-10,0.20536734,7.354522,1.2656033e-10,-2.7421407e-10,data/clips/nonvocaloid/(01) MY MAI☆TONIGHT.mp3,nonvocaloid
41.92,0.1189456910125969,0.05514542628539553,2835.174075303461,372.74422260392095,0.0013233623,0.015993938,5994.213015534157,711.4352579828143,0.8627044,1.1149573,18.445800121027744,5.483525885768305,21.34200549853239,8.742988419944595,35.0800781902578,6.2194011016712745,36.6033323236928,6.061602713301099,38.14632532295604,5.33582653667317,37.713920372896794,4.943836446761032,60.14026172578587,4.050173582580099,-392.40616,74.602806,-0.016066508,-0.059956845,-15.012407,23.276066,-0.0010228511,0.011656798,-1.6187743,10.51233,0.0033390948,-0.0018939782,-18.694923,13.254952,0.0011322132,-0.001878814,-37.90389,12.599215,-7.2851003e-06,-9.0583875e-05,-19.191782,18.608492,-0.0061476403,-0.0050310246,4.1225557,17.375778,-0.005710376,-0.00391333,-2.7945225,15.184285,0.0068342416,0.004847653,-14.963156,23.785946,0.014468794,0.013899744,-5.336539,22.216822,0.010624257,0.007721546,-1.3310465,19.04438,0.0026378336,0.001361457,16.104921,15.824743,-0.003610651,-0.0051379832,19.545198,19.542738,-0.002634131,-0.0038076013,data/clips/nonvocaloid/002 - WHITE SPACE.mp3,nonvocaloid
313.41333333333336,0.12415630585318195,0.04806867918086781,2385.661138153689,475.18626567524785,0.022068067,0.0958369,5223.42496378225,999.3400929716759,0.92868125,0.3479797,31.898518885856486,5.725631334797405,18.076556966105322,4.725757551082892,21.69741347906838,4.659830752169207,22.11365679932552,4.170962435306496,21.984396397640694,3.7929019601098446,20.391782502689463,3.3023142675903596,49.15290808761505,4.169069431789693,-53.62643,83.484695,2.2608964e-09,-1.6073559e-09,81.01956,19.156986,0.0,3.0027528e-10,1.7847028,11.252609,-1.1304482e-09,9.714789e-11,17.147888,11.186248,8.4783613e-10,1.1481114e-10,-1.3654339,8.611269,4.2391807e-10,4.2391807e-10,7.0628242,9.754512,0.0,9.891421e-10,4.282311,7.5761666,-3.5326506e-11,-1.4130602e-10,-2.585213,9.692585,-1.4130602e-10,-7.153617e-10,6.9161334,8.458291,-3.5326506e-10,-6.8445105e-10,-0.3048953,7.736406,3.5326506e-10,-2.7819622e-10,-5.463631,6.408319,7.065301e-11,2.7378042e-10,5.081677,7.420698,3.5326506e-10,3.0027528e-10,-2.7734041,7.609672,3.8859155e-10,-6.2704547e-10,data/clips/nonvocaloid/001-LIVE with a smile!.flac,nonvocaloid
282.8666666666667,0.15727165126354345,0.06443565052510652,2891.179189556209,615.1145682867484,0.034175385,0.109151155,6472.110591795432,1195.1260404571763,1.025031,0.46538812,29.732820619646716,5.462975616768485,16.893148160998983,4.634345620822822,20.291864835002247,4.491800725023161,21.00128894741553,3.823743515047952,19.72898519052468,3.0829142097834494,18.278260933734533,2.5376541075277785,49.34317363812025,4.054990872575671,-48.0833,77.154526,0.0,2.7789082e-09,53.041553,16.90633,-1.2524657e-09,-6.555875e-10,3.8442419,14.093303,-1.3307447e-09,1.0763377e-09,22.688004,10.820613,-1.5655821e-10,-9.099946e-10,5.1706753,9.264175,3.9139553e-10,-9.491341e-10,8.033651,8.66255,3.9139553e-11,-3.3268618e-10,7.5465455,7.2704034,5.8709326e-10,1.5264425e-09,11.615419,7.744357,0.0,1.0274133e-09,6.51783,7.732218,-3.9139553e-11,9.197795e-10,10.169119,7.759869,-4.6967463e-10,-8.6107016e-10,2.2333014,7.5203977,-6.6537237e-10,6.0666305e-10,11.490174,7.15003,-1.8004194e-09,7.436515e-10,5.3295465,7.07535,-5.675235e-10,2.7397687e-10,data/clips/nonvocaloid/001-New Romantic Sailors.flac,nonvocaloid
328.2,0.12477833033029713,0.06895234957897406,2600.3697846079485,683.8909392037464,0.025360404,0.0971129,6088.494521992174,1566.192971152743,0.99352133,0.45114362,27.739590696764964,6.637125818903505,17.911839070519775,5.266473742180991,21.3806246058505,4.962334406170151,20.71391327963387,4.351799812793025,20.973190976672168,3.742435504603489,20.56249588314464,3.683460855531606,48.923703305553225,3.685843643989476,-86.37568,68.98772,0.0,1.2481765e-09,68.628204,24.589863,-1.079504e-09,-6.240882e-10,1.4699538,14.562995,-8.77097e-10,-3.37345e-11,7.2048903,12.091976,1.619256e-09,3.6264589e-10,8.4765835,9.5576,6.07221e-10,6.5782274e-10,12.149039,11.487244,-4.04814e-10,-4.4698212e-10,18.50709,9.471212,8.09628e-10,4.301149e-10,2.3860672,11.134381,2.69876e-10,4.6384938e-10,13.64027,9.223157,1.079504e-09,-2.4457514e-10,14.744721,8.020761,-2.69876e-10,2.8674324e-10,-5.4322085,8.561859,-6.7469e-10,2.5300875e-10,11.466977,8.556838,1.34938e-09,-2.1927425e-10,1.4569992,8.429107,6.7469e-11,2.6144237e-10,data/clips/nonvocaloid/001-Fantastic Departure!.flac,nonvocaloid
